Frame,Visibility,X,Y,Z,Original_Frame,Point_Coordinates_Camera1,Point_Coordinates_Camera2,Point_Costs_Formula1,Point_Costs_Formula2,Point_Costs_Epipolar,Point_Costs_Reprojection,Point_Costs_Temporal
86,1,[5.0203 ],[9.4136 ],[0.6963 ],86,"[(1006.0000, 360.0000)]","[(880.0000, 326.0000)]",[4.005630],[11.986175],[14.228595],[4.005630],[15.961089]
87,1,[5.0938 ],[9.3004 ],[0.6476 ],87,"[(1012.0000, 360.0000)]","[(883.0000, 326.0000)]",[4.512473],[8.736313],[14.705072],[4.512473],[8.447680]
88,1,[5.2657 ],[9.0137 ],[0.4757 ],88,"[(1023.0000, 367.0000)]","[(888.0000, 330.0000)]",[2.820842],[11.993832],[12.936478],[2.820842],[18.345981]
89,1,[5.2533 ],[9.2394 ],[0.5382 ],89,"[(1029.0000, 371.0000)]","[(897.0000, 333.0000)]",[3.572493],[11.455429],[13.570403],[3.572493],[15.765872]
90,1,[5.2085 ],[9.5112 ],[0.5894 ],90,"[(1032.0000, 378.0000)]","[(905.0000, 341.0000)]",[6.287526],[15.247405],[16.012341],[6.287526],[17.919757]
91,1,[5.1952 ],[9.6666 ],[0.6067 ],91,"[(1035.0000, 386.0000)]","[(911.0000, 345.0000)]",[3.883462],[11.354069],[13.567825],[3.883462],[14.941215]
92,1,[5.1983 ],[9.8236 ],[0.6017 ],92,"[(1040.0000, 397.0000)]","[(919.0000, 352.0000)]",[2.059884],[12.824243],[11.611047],[2.059884],[21.528718]
93,1,[5.4173 ],[9.4443 ],[0.3252 ],93,"[(1051.0000, 408.0000)]","[(922.0000, 363.0000)]",[3.456377],[16.185685],[12.707950],[3.456377],[25.458617]
94,1,[5.3250 ],[9.8054 ],[0.3823 ],94,"[(1051.0000, 423.0000)]","[(930.0000, 375.0000)]",[2.933031],[16.874097],[11.918533],[2.933031],[27.882132]
95,1,[5.3258 ],[9.9296 ],[0.3451 ],95,"[(1054.0000, 435.0000)]","[(936.0000, 386.0000)]",[3.925339],[15.723177],[12.616364],[3.925339],[23.595676]
96,1,[5.3930 ],[9.9294 ],[0.2305 ],96,"[(1060.0000, 450.0000)]","[(942.0000, 397.0000)]",[2.341954],[2.341954],[10.815931],[2.341954],[0.000000]
97,1,[5.4531 ],[9.9242 ],[0.1099 ],97,"[(1065.0000, 461.0000)]","[(947.0000, 412.0000)]",[8.216432],[21.415036],[16.097477],[8.216432],[26.397207]
98,1,[5.5383 ],[9.7766 ],[-0.0049 ],98,"[(1068.0000, 468.0000)]","[(947.0000, 412.0000)]",[1.979647],[5.603061],[10.107640],[1.979647],[7.246828]
99,1,[5.5891 ],[9.8642 ],[0.1042 ],99,"[(1082.0000, 461.0000)]","[(959.0000, 405.0000)]",[3.839160],[17.715931],[11.969497],[3.839160],[27.753541]
100,1,[5.6068 ],[9.9479 ],[0.2019 ],100,"[(1091.0000, 457.0000)]","[(967.0000, 397.0000)]",[1.148615],[11.084654],[9.507986],[1.148615],[19.872078]
101,1,[5.4930 ],[10.2989 ],[0.4244 ],101,"[(1096.0000, 453.0000)]","[(978.0000, 393.0000)]",[2.795634],[11.319890],[11.125499],[2.795634],[17.048513]
102,1,[5.6154 ],[10.2169 ],[0.3766 ],102,"[(1110.0000, 453.0000)]","[(987.0000, 393.0000)]",[4.716501],[15.521000],[12.898191],[4.716501],[21.608998]
103,1,[5.7149 ],[10.1632 ],[0.3446 ],103,"[(1122.0000, 453.0000)]","[(995.0000, 393.0000)]",[6.421378],[15.821820],[14.461040],[6.421378],[18.800885]
104,1,[5.7056 ],[10.2654 ],[0.3955 ],104,"[(1127.0000, 457.0000)]","[(1001.0000, 390.0000)]",[1.028446],[7.215843],[9.346353],[1.028446],[12.374794]
105,1,[5.7488 ],[10.2713 ],[0.3683 ],105,"[(1133.0000, 461.0000)]","[(1006.0000, 393.0000)]",[1.475861],[7.635589],[9.675839],[1.475861],[12.319457]
106,1,[5.8056 ],[10.2686 ],[0.3489 ],106,"[(1141.0000, 465.0000)]","[(1012.0000, 393.0000)]",[0.818182],[7.869618],[7.448364],[0.818182],[14.102873]
107,1,[5.8969 ],[10.2123 ],[0.2859 ],107,"[(1150.0000, 468.0000)]","[(1018.0000, 397.0000)]",[1.807988],[9.683618],[9.820179],[1.807988],[15.751261]
108,1,[5.8605 ],[10.3869 ],[0.3329 ],108,"[(1155.0000, 476.0000)]","[(1026.0000, 401.0000)]",[0.251805],[8.961667],[8.207495],[0.251805],[17.419724]
109,1,[5.9565 ],[10.3299 ],[0.2515 ],109,"[(1164.0000, 480.0000)]","[(1032.0000, 408.0000)]",[5.057363],[14.060888],[12.561053],[5.057363],[18.007050]
110,1,[6.0298 ],[10.3178 ],[0.1461 ],110,"[(1170.0000, 495.0000)]","[(1037.0000, 416.0000)]",[0.906271],[13.051375],[8.411320],[0.906271],[24.290207]
111,1,[6.1167 ],[10.2930 ],[0.0515 ],111,"[(1178.0000, 506.0000)]","[(1043.0000, 423.0000)]",[0.405741],[11.229982],[6.967320],[0.405741],[21.648481]
112,1,[6.1232 ],[10.4093 ],[0.0206 ],112,"[(1184.0000, 517.0000)]","[(1051.0000, 435.0000)]",[3.655600],[16.431219],[10.472942],[3.655600],[25.551238]
113,1,[6.0616 ],[10.5835 ],[0.0660 ],113,"[(1186.0000, 525.0000)]","[(1057.0000, 442.0000)]",[4.842423],[13.127645],[11.392238],[4.842423],[16.570443]
114,1,[6.0159 ],[10.7341 ],[0.1616 ],114,"[(1192.0000, 525.0000)]","[(1065.0000, 442.0000)]",[6.527225],[13.144734],[12.918908],[6.527225],[13.235017]
115,1,[6.1083 ],[10.6670 ],[0.1496 ],115,"[(1203.0000, 521.0000)]","[(1071.0000, 438.0000)]",[7.526335],[16.463439],[13.886055],[7.526335],[17.874208]
116,1,[6.1847 ],[10.6385 ],[0.1133 ],116,"[(1212.0000, 525.0000)]","[(1077.0000, 438.0000)]",[5.458920],[12.983933],[11.898967],[5.458920],[15.050027]
117,1,[6.3182 ],[10.5540 ],[0.0559 ],117,"[(1226.0000, 525.0000)]","[(1085.0000, 438.0000)]",[7.488932],[17.929895],[13.711038],[7.488932],[20.881927]
