Frame,X,Y,Visibility,BBox_X,BBox_Y,BBox_W,BBox_H
236,[0],[0],0,[0],[0],[0],[0]
237,[0],[0],0,[0],[0],[0],[0]
238,[0],[0],0,[0],[0],[0],[0]
239,[0],[0],0,[0],[0],[0],[0]
240,[360],[746],1,[354],[738],[14],[18]
241,[362],[738],1,[354],[731],[16],[18]
242,[362],[731],1,[354],[720],[16],[26]
243,[365],[727],1,[357],[712],[19],[30]
244,[371],[723],1,[362],[712],[16],[22]
245,[374],[720],1,[368],[712],[11],[15]
246,[376],[708],1,[374],[705],[5],[11]
247,[376],[708],1,[374],[701],[8],[15]
248,[385],[708],1,[376],[697],[19],[26]
249,[393],[716],1,[385],[701],[19],[30]
250,[407],[731],1,[399],[716],[16],[30]
251,[413],[757],1,[405],[746],[19],[22]
252,[424],[787],1,[416],[776],[16],[26]
253,[430],[813],1,[421],[802],[19],[26]
254,[444],[851],1,[435],[840],[16],[26]
255,[447],[873],1,[438],[862],[19],[26]
256,[444],[866],1,[433],[855],[22],[26]
257,[435],[851],1,[427],[836],[19],[30]
258,[430],[828],1,[424],[817],[14],[26]
259,[427],[813],1,[419],[802],[16],[26]
260,[419],[802],1,[410],[787],[19],[30]
261,[416],[795],1,[407],[783],[19],[22]
262,[416],[783],1,[407],[776],[16],[18]
263,[413],[783],1,[405],[776],[16],[18]
264,[0],[0],0,[0],[0],[0],[0]
265,[0],[0],0,[0],[0],[0],[0]
266,[0],[0],0,[0],[0],[0],[0]
267,[0],[0],0,[0],[0],[0],[0]
268,[0],[0],0,[0],[0],[0],[0]
269,[0],[0],0,[0],[0],[0],[0]
270,[0],[0],0,[0],[0],[0],[0]
271,[0],[0],0,[0],[0],[0],[0]
272,[0],[0],0,[0],[0],[0],[0]
273,[0],[0],0,[0],[0],[0],[0]
274,[0],[0],0,[0],[0],[0],[0]
275,[0],[0],0,[0],[0],[0],[0]
276,[0],[0],0,[0],[0],[0],[0]
277,[0],[0],0,[0],[0],[0],[0]
278,[0],[0],0,[0],[0],[0],[0]
279,[0],[0],0,[0],[0],[0],[0]
280,[0],[0],0,[0],[0],[0],[0]
281,[0],[0],0,[0],[0],[0],[0]
282,[0],[0],0,[0],[0],[0],[0]
283,[0],[0],0,[0],[0],[0],[0]
284,[0],[0],0,[0],[0],[0],[0]
285,[0],[0],0,[0],[0],[0],[0]
286,[0],[0],0,[0],[0],[0],[0]
287,[396],[780],1,[388],[772],[16],[18]
288,[390],[765],1,[376],[750],[30],[30]
289,[388],[750],1,[376],[735],[22],[33]
290,[382],[738],1,[374],[727],[19],[26]
291,[382],[731],1,[374],[716],[19],[30]
292,[382],[731],1,[374],[716],[19],[30]
293,[390],[742],1,[382],[727],[19],[30]
294,[399],[761],1,[390],[742],[19],[37]
295,[405],[776],1,[393],[761],[22],[33]
296,[419],[813],1,[407],[798],[22],[33]
297,[427],[840],1,[410],[813],[33],[52]
298,[433],[866],1,[419],[851],[28],[33]
299,[430],[870],1,[416],[855],[30],[30]
300,[427],[862],1,[416],[843],[22],[37]
301,[416],[840],1,[410],[832],[14],[15]
302,[0],[0],0,[0],[0],[0],[0]
303,[0],[0],0,[0],[0],[0],[0]
304,[1347],[802],1,[1344],[802],[5],[3]
305,[0],[0],0,[0],[0],[0],[0]
306,[0],[0],0,[0],[0],[0],[0]
307,[0],[0],0,[0],[0],[0],[0]
308,[0],[0],0,[0],[0],[0],[0]
309,[0],[0],0,[0],[0],[0],[0]
310,[1344],[247],1,[1338],[240],[14],[15]
311,[1341],[240],1,[1333],[228],[19],[22]
312,[1335],[236],1,[1319],[225],[36],[22]
313,[1330],[228],1,[1313],[221],[36],[18]
314,[1319],[221],1,[1310],[213],[16],[18]
315,[1310],[217],1,[1302],[210],[16],[15]
316,[1307],[213],1,[1299],[206],[16],[15]
317,[1302],[210],1,[1293],[206],[16],[7]
