EventWall_ns,RowType,Source_Index,Source_WallClock_ns,HQ_Index,HQ_WallClock_ns,WallTimeDifference_ns,WallTimeDifference_ms
1784219379115666073,MATCHED,96,1784219379115666073,124,1784219379122405606,-6739533,-6.739533
1784219379148482268,MATCHED,97,1784219379148482268,125,1784219379156514973,-8032705,-8.032705
1784219379182335580,MATCHED,98,1784219379182335580,126,1784219379189651018,-7315438,-7.315438
1784219379215640843,MATCHED,99,1784219379215640843,127,1784219379223011358,-7370515,-7.370515
1784219379249481989,MATCHED,100,1784219379249481989,128,1784219379257084873,-7602884,-7.602884
1784219379282365775,MATCHED,101,1784219379282365775,129,1784219379290184790,-7819015,-7.819015
1784219379315250228,MATCHED,102,1784219379315250228,130,1784219379323513056,-8262828,-8.262828
1784219379349050059,MATCHED,103,1784219379349050059,131,1784219379358945832,-9895773,-9.895773
1784219379382380211,MATCHED,104,1784219379382380211,132,1784219379390227105,-7846894,-7.846894
1784219379416223783,MATCHED,105,1784219379416223783,133,1784219379423515241,-7291458,-7.291458
1784219379449059495,MATCHED,106,1784219379449059495,134,1784219379456779767,-7720272,-7.720272
1784219379482143020,MATCHED,107,1784219379482143020,135,1784219379491147686,-9004666,-9.004666
1784219379517004191,MATCHED,108,1784219379517004191,136,1784219379524953409,-7949218,-7.949218
1784219379549162893,MATCHED,109,1784219379549162893,137,1784219379560333464,-11170571,-11.170571
1784219379583672254,MATCHED,110,1784219379583672254,138,1784219379592861628,-9189374,-9.189374
1784219379617071145,MATCHED,111,1784219379617071145,139,1784219379625319923,-8248778,-8.248778
1784219379650140059,MATCHED,112,1784219379650140059,140,1784219379659471919,-9331860,-9.331860
1784219379683663653,MATCHED,113,1784219379683663653,141,1784219379692682761,-9019108,-9.019108
1784219379716508198,MATCHED,114,1784219379716508198,142,1784219379724891096,-8382898,-8.382898
1784219379749199116,MATCHED,115,1784219379749199116,143,1784219379758839335,-9640219,-9.640219
1784219379783071762,MATCHED,116,1784219379783071762,144,1784219379791087763,-8016001,-8.016001
1784219379816995055,MATCHED,117,1784219379816995055,145,1784219379824073625,-7078570,-7.078570
1784219379850005414,MATCHED,118,1784219379850005414,146,1784219379857574556,-7569142,-7.569142
