segment_index,seg_basename,cumulative_start_frame,frame_count
743,seg_00743.ts,89192,120
744,seg_00744.ts,89312,120
745,seg_00745.ts,89432,120
746,seg_00746.ts,89552,120
747,seg_00747.ts,89672,120
748,seg_00748.ts,89792,120
749,seg_00749.ts,89912,120
750,seg_00750.ts,90032,120
751,seg_00751.ts,90152,120
752,seg_00752.ts,90272,120
753,seg_00753.ts,90392,120
754,seg_00754.ts,90512,120
755,seg_00755.ts,90632,120
756,seg_00756.ts,90752,120
757,seg_00757.ts,90872,120
758,seg_00758.ts,90992,120
759,seg_00759.ts,91112,120
760,seg_00760.ts,91232,120
761,seg_00761.ts,91352,120
762,seg_00762.ts,91472,120
763,seg_00763.ts,91592,120
764,seg_00764.ts,91712,120
765,seg_00765.ts,91832,120
766,seg_00766.ts,91952,120
767,seg_00767.ts,92072,120
768,seg_00768.ts,92192,120
769,seg_00769.ts,92312,120
770,seg_00770.ts,92432,120
771,seg_00771.ts,92552,120
772,seg_00772.ts,92672,120
773,seg_00773.ts,92792,120
774,seg_00774.ts,92912,120
775,seg_00775.ts,93032,120
776,seg_00776.ts,93152,120
777,seg_00777.ts,93272,120
778,seg_00778.ts,93392,120
779,seg_00779.ts,93512,120
780,seg_00780.ts,93632,120
781,seg_00781.ts,93752,120
782,seg_00782.ts,93872,120
783,seg_00783.ts,93992,120
784,seg_00784.ts,94112,120
785,seg_00785.ts,94232,120
786,seg_00786.ts,94352,120
787,seg_00787.ts,94472,120
788,seg_00788.ts,94592,120
789,seg_00789.ts,94712,115
790,seg_00790.ts,94827,120
791,seg_00791.ts,94947,120
792,seg_00792.ts,95067,120
793,seg_00793.ts,95187,120
794,seg_00794.ts,95307,120
795,seg_00795.ts,95427,120
796,seg_00796.ts,95547,120
797,seg_00797.ts,95667,120
798,seg_00798.ts,95787,120
799,seg_00799.ts,95907,120
800,seg_00800.ts,96027,120
801,seg_00801.ts,96147,120
802,seg_00802.ts,96267,120
803,seg_00803.ts,96387,120
804,seg_00804.ts,96507,120
805,seg_00805.ts,96627,120
806,seg_00806.ts,96747,120
807,seg_00807.ts,96867,120
808,seg_00808.ts,96987,120
809,seg_00809.ts,97107,120
810,seg_00810.ts,97227,120
811,seg_00811.ts,97347,120
812,seg_00812.ts,97467,120
