segment_index,seg_basename,cumulative_start_frame,frame_count
656,seg_00656.ts,78780,120
657,seg_00657.ts,78900,120
658,seg_00658.ts,79020,120
659,seg_00659.ts,79140,120
660,seg_00660.ts,79260,120
661,seg_00661.ts,79380,120
662,seg_00662.ts,79500,120
663,seg_00663.ts,79620,120
664,seg_00664.ts,79740,120
665,seg_00665.ts,79860,120
666,seg_00666.ts,79980,120
667,seg_00667.ts,80100,120
668,seg_00668.ts,80220,120
669,seg_00669.ts,80340,120
670,seg_00670.ts,80460,120
671,seg_00671.ts,80580,120
672,seg_00672.ts,80700,120
673,seg_00673.ts,80820,120
674,seg_00674.ts,80940,120
675,seg_00675.ts,81060,120
676,seg_00676.ts,81180,120
677,seg_00677.ts,81300,120
678,seg_00678.ts,81420,120
679,seg_00679.ts,81540,120
680,seg_00680.ts,81660,120
681,seg_00681.ts,81780,120
682,seg_00682.ts,81900,120
683,seg_00683.ts,82020,120
684,seg_00684.ts,82140,120
685,seg_00685.ts,82260,120
686,seg_00686.ts,82380,120
687,seg_00687.ts,82500,120
688,seg_00688.ts,82620,120
689,seg_00689.ts,82740,120
690,seg_00690.ts,82860,120
691,seg_00691.ts,82980,120
692,seg_00692.ts,83100,120
693,seg_00693.ts,83220,120
694,seg_00694.ts,83340,120
695,seg_00695.ts,83460,120
696,seg_00696.ts,83580,120
697,seg_00697.ts,83700,120
698,seg_00698.ts,83820,120
699,seg_00699.ts,83940,120
700,seg_00700.ts,84060,120
701,seg_00701.ts,84180,120
702,seg_00702.ts,84300,120
703,seg_00703.ts,84420,120
704,seg_00704.ts,84540,120
705,seg_00705.ts,84660,120
706,seg_00706.ts,84780,120
707,seg_00707.ts,84900,120
708,seg_00708.ts,85020,120
709,seg_00709.ts,85140,120
710,seg_00710.ts,85260,120
711,seg_00711.ts,85380,120
712,seg_00712.ts,85500,120
713,seg_00713.ts,85620,120
714,seg_00714.ts,85740,120
715,seg_00715.ts,85860,120
716,seg_00716.ts,85980,120
717,seg_00717.ts,86100,120
718,seg_00718.ts,86220,120
719,seg_00719.ts,86340,120
720,seg_00720.ts,86460,120
721,seg_00721.ts,86580,120
722,seg_00722.ts,86700,120
723,seg_00723.ts,86820,120
724,seg_00724.ts,86940,120
725,seg_00725.ts,87060,120
726,seg_00726.ts,87180,120
727,seg_00727.ts,87300,120
728,seg_00728.ts,87420,120
729,seg_00729.ts,87540,120
730,seg_00730.ts,87660,120
731,seg_00731.ts,87780,120
732,seg_00732.ts,87900,120
733,seg_00733.ts,88020,120
734,seg_00734.ts,88140,120
735,seg_00735.ts,88260,120
736,seg_00736.ts,88380,120
737,seg_00737.ts,88500,120
738,seg_00738.ts,88620,120
739,seg_00739.ts,88740,120
740,seg_00740.ts,88860,120
741,seg_00741.ts,88980,120
742,seg_00742.ts,89100,120
743,seg_00743.ts,89220,120
744,seg_00744.ts,89340,120
745,seg_00745.ts,89460,120
746,seg_00746.ts,89580,120
747,seg_00747.ts,89700,120
748,seg_00748.ts,89820,120
749,seg_00749.ts,89940,120
750,seg_00750.ts,90060,120
751,seg_00751.ts,90180,120
752,seg_00752.ts,90300,120
753,seg_00753.ts,90420,120
754,seg_00754.ts,90540,120
755,seg_00755.ts,90660,120
756,seg_00756.ts,90780,120
757,seg_00757.ts,90900,120
758,seg_00758.ts,91020,120
759,seg_00759.ts,91140,120
760,seg_00760.ts,91260,120
761,seg_00761.ts,91380,120
762,seg_00762.ts,91500,120
763,seg_00763.ts,91620,120
764,seg_00764.ts,91740,120
765,seg_00765.ts,91860,120
766,seg_00766.ts,91980,120
767,seg_00767.ts,92100,120
768,seg_00768.ts,92220,120
769,seg_00769.ts,92340,120
770,seg_00770.ts,92460,120
771,seg_00771.ts,92580,120
772,seg_00772.ts,92700,120
773,seg_00773.ts,92820,120
774,seg_00774.ts,92940,120
775,seg_00775.ts,93060,120
776,seg_00776.ts,93180,120
777,seg_00777.ts,93300,120
778,seg_00778.ts,93420,120
779,seg_00779.ts,93540,120
780,seg_00780.ts,93660,120
781,seg_00781.ts,93780,120
782,seg_00782.ts,93900,120
783,seg_00783.ts,94020,120
784,seg_00784.ts,94140,120
785,seg_00785.ts,94260,120
786,seg_00786.ts,94380,120
787,seg_00787.ts,94500,120
788,seg_00788.ts,94620,120
789,seg_00789.ts,94740,120
790,seg_00790.ts,94860,120
791,seg_00791.ts,94980,120
792,seg_00792.ts,95100,120
793,seg_00793.ts,95220,120
794,seg_00794.ts,95340,120
795,seg_00795.ts,95460,120
796,seg_00796.ts,95580,120
797,seg_00797.ts,95700,120
798,seg_00798.ts,95820,120
799,seg_00799.ts,95940,120
800,seg_00800.ts,96060,120
801,seg_00801.ts,96180,120
802,seg_00802.ts,96300,120
803,seg_00803.ts,96420,120
804,seg_00804.ts,96540,120
805,seg_00805.ts,96660,120
806,seg_00806.ts,96780,120
807,seg_00807.ts,96900,120
808,seg_00808.ts,97020,120
809,seg_00809.ts,97140,120
810,seg_00810.ts,97260,120
811,seg_00811.ts,97380,120
812,seg_00812.ts,97500,120
813,seg_00813.ts,97620,120
814,seg_00814.ts,97740,120
815,seg_00815.ts,97860,120
816,seg_00816.ts,97980,120
817,seg_00817.ts,98100,120
818,seg_00818.ts,98220,120
819,seg_00819.ts,98340,120
820,seg_00820.ts,98460,120
821,seg_00821.ts,98580,120
822,seg_00822.ts,98700,120
823,seg_00823.ts,98820,120
824,seg_00824.ts,98940,120
825,seg_00825.ts,99060,120
826,seg_00826.ts,99180,120
827,seg_00827.ts,99300,120
828,seg_00828.ts,99420,120
829,seg_00829.ts,99540,120
830,seg_00830.ts,99660,120
831,seg_00831.ts,99780,120
832,seg_00832.ts,99900,120
